place_name,street_address,address_number,city,zipcode,gmaps_url,latitude,longitude,places_url,record_created,short_description,alternate_names,date_built,date_notes,extant,place_type,architect_name,building_use,wikipedia_url,architectural_style,place_count,explore_id,explore_duplicate,chap_landmark,builder_name,inventory_relation,location_check_needed,date_razed,issue_url,street_name,neighborhood,osm_query,osm_flickr_tag_type,osm_flickr_tag_id,flickr_osm_url,source,extra_data,legislative_district,short_description_state,related_issue_url,featured,zoning_id,geo_accuracy,mihpno_district,mihp_district_name,mihp_historic_district,mihp_survey_district,housing_market_typology,chap_district,explore_url,county,state,full_address,congressional_district,council_district,source_url,official_url,interior_area_sf,lot_size_sf,nr_landmark,nr_district,NHL_designation,address_listed,lot,block,ownership_type,owner_address,owner_name,marker_symbol,slug,issue_type,sort_date,year_start,image_url,year_end,image_note,image_source,image_caption,developer_name,explore_url_show,editorial_state,development_state,unoccupied,streetview_url,streetview_image_url,religious_association,date_established,date_closed,lat_core,long_core,mihp_individual_good,events
Sun Life Building,20 South Charles Street (109 East Redwood Street),20,Baltimore,21201,"https://www.google.com/maps/place/20 South Charles Street (109 East Redwood Street), Baltimore, MD",39.28846800,-76.61561800,,2017-05-02 11:15pm,,Sun Life Insurance Company Building,1966,,T,Building,"Emery Roth and Sons,Peterson and Brickbauer",Offices,,Modernist,,136,,,,habs:md1544,,,,,,http://www.openstreetmap.org/query?lat=39.288468&lon=-76.615618#map=19/39.288468/-76.615618,way,60440083,https://www.flickr.com/photos/tags/osm:way=60440083,Baltimore Modernism Inventory,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/136,Baltimore City,MD,"20 South Charles Street, Baltimore, MD 21201",,,http://www.ce.jhu.edu/baltimorestructures/Index.php?location=Sun%20Life%20Building,,,,,,,checked,,,,,,,,,1966,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.288468,-76.615618","https://maps.googleapis.com/maps/api/streetview?location=39.288468,-76.615618&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,-0.105780,0.171970,B-1220,
Sunpapers Building,501 N Calvert Street,501,Baltimore,21202,"https://www.google.com/maps/place/501 N Calvert Street, Baltimore, MD",39.29523300,-76.61192200,,2017-05-02 11:15pm,,,1950,,T,,"Palmer,Fisher,Williams and Nes",Offices,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.295233&lon=-76.611922#map=19/39.295233/-76.611922,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"501 N Calvert Street, Baltimore, MD 21202",,,,,,,,,,checked,,,,,,,,,1950,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.295233,-76.611922","https://maps.googleapis.com/maps/api/streetview?location=39.295233,-76.611922&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,0.570720,0.541570,,
Super Pride Market,2305 E. Chase Street,2305,Baltimore,21213,"https://www.google.com/maps/place/2305 E. Chase Street, Baltimore, MD",39.30281800,-76.58499000,,2017-05-02 11:15pm,,,,,T,Building,,,,,,491,,,,,,,,,Biddle Street,http://www.openstreetmap.org/query?lat=39.302818&lon=-76.58499#map=19/39.302818/-76.58499,,,,Historic Resource Watchlist,T,45,missing,,null,820,9,B-5077,Baltimore East/South Clifton Park Historic District,checked,,City/Public/Private,,https://explore.baltimoreheritage.org/items/show/491,Baltimore City,MD,"2305 E. Chase Street Baltimore, MD 21213",7TH,13,,,,,,Baltimore East/South Clifton Park Historic District,,checked,,,,,,grocery,,Neglect,,,,,,,,,,Draft Required,,Y,"https://maps.google.com/?layer=c&cbll=39.302818,-76.58499","https://maps.googleapis.com/maps/api/streetview?location=39.302818,-76.58499&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,1.329220,3.234770,,
Swedenborgian Church of the New Jerusalem,1100 North Calvert Street,1100,Baltimore,,"https://www.google.com/maps/place/1100 North Calvert Street, Baltimore, MD",39.30249690,-76.61322370,,2017-05-03 12:55pm,,,,,,,,Religious building,,,,,,,,habs:md1692,,,,,,http://www.openstreetmap.org/query?lat=39.3024969&lon=-76.6132237#map=19/39.3024969/-76.6132237,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabernacle Praise Church,4845 Belair Road,4845,Baltimore,21206,"https://www.google.com/maps/place/4845 Belair Road, Baltimore, MD",39.33404800,-76.55688800,,2017-05-02 11:15pm,,,,,T,Building,,Religious building,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.334048&lon=-76.556888#map=19/39.334048/-76.556888,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"4845 Belair Road, Baltimore, MD 21206",,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.334048,-76.556888","https://maps.googleapis.com/maps/api/streetview?location=39.334048,-76.556888&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,4.452220,6.044970,,
Taylor’s Chapel & Burial Ground,6001 Hillen Road,6001 ,Baltimore,21239,"https://www.google.com/maps/place/6001 Hillen Road, Baltimore, MD",39.36267405,-76.57717971,,2017-05-03 12:11pm,"There has been a place of worship on the site of Taylor’s Chapel since Joseph Taylor built a Quaker meeting house there in 1770. The Taylor family, who owned a large plantation called Mt. Pleasant, converted to Methodism in the late 18th century. The present chapel was constructed in 1853, and became the center of Methodism for the surrounding countryside. The small Greek Revival building, sitting on a slight hill above Herring Run on the Mt. Pleasant Golf Course, is of simple frame construction and covered with stucco. The simple fresco work on the interior may have been done by Constantino Brumidi, an Italian immigrant who painted the frescoes in the Capital dome.  Brumidi was a guest of the Taylor’s at the time of the chapel’s construction. In 1925 the City of Baltimore purchased the chapel and burial ground, but the site has remained under the direction of a Board of Trustees from St. John’s Methodist Church of Hamilton. The Loch Raven Community Organization undertook the preservation of Taylor’s Chapel as their Bicentennial project. ",Taylor's Chapel,1853,,T,Building; Cemetery,,,https://en.wikipedia.org/wiki/Taylor%27s_Chapel,Greek Revival,2,44,,checked,,chap:46,,,,Hillen Road,,http://www.openstreetmap.org/query?lat=39.36267405&lon=-76.57717971#map=19/39.36267405/-76.57717971,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/44,Baltimore City,MD,"6001 Hillen Road, Baltimore, MD 21239",,,,,,,checked,,F,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,B-3690,
Taylors Chapel Cemetery,6001 Hillen Road,6001,Baltimore,,"https://www.google.com/maps/place/6001 Hillen Road, Baltimore, MD",39.37199300,-76.57488300,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.371993&lon=-76.574883#map=19/39.371993/-76.574883,,,,Baltimore Cemetery Inventory,,,,,,,9,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple Emanuel,Milford Mill Road and Rolling Road,,Baltimore,21244,"https://www.google.com/maps/place/Milford Mill Road and Rolling Road, Baltimore, MD",39.34896320,-76.76739010,,2017-05-02 11:15pm,,,1951-1961,Date uncertain.,,Building,,Religious building,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3489632&lon=-76.7673901#map=19/39.3489632/-76.7673901,,,,Baltimore Modernism Inventory,,,,,,,intersection,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,1951,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3489632,-76.7673901","https://maps.googleapis.com/maps/api/streetview?location=39.3489632,-76.7673901&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,5.943740,-15.005240,,
Temple Oheb Shalom,7013 Park Heights Avenue,7013,Baltimore,21215,"https://www.google.com/maps/place/7013 Park Heights Avenue, Baltimore, MD",39.36631200,-76.70462000,,2017-05-02 11:15pm,From A Guide to Baltimore Architecture (1973),,1960,,T,Building,"Sheldon I. Leavitt,Walter Gropius",Religious building,"https://en.wikipedia.org/wiki/Temple_Oheb_Shalom_(Baltimore,_Maryland)",Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.366312&lon=-76.70462#map=19/39.366312/-76.70462,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"7013 Park Heights Avenue, Baltimore, MD 21215",,,,,,,,,,checked,,,,,,,,,1960,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.366312,-76.70462","https://maps.googleapis.com/maps/api/streetview?location=39.366312,-76.70462&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,7.678620,-8.728230,,
Temple Oheb Shalom,7310 Park Heights Avenue,7310,Baltimore,,"https://www.google.com/maps/place/7310 Park Heights Avenue, Baltimore, MD",39.36955780,-76.71059290,,2017-05-03 12:55pm,,,,,T,Building,,,,,,,,,,habs:md1635,,,,,,http://www.openstreetmap.org/query?lat=39.3695578&lon=-76.7105929#map=19/39.3695578/-76.7105929,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terminal Warehouse Building,211 E. Pleasant Street,320,Baltimore,21202,"https://www.google.com/maps/place/211 E. Pleasant Street, Baltimore, MD",39.29340100,-76.61165290,,2017-05-03 12:11pm,,Terminal Warehouse,1894; 1912,,T,Building,Benjamin B. Owens,,https://en.wikipedia.org/wiki/Terminal_Warehouse,Industrial,1,493,,checked,,chap:171,,,,Guilford Avenue,Downtown,http://www.openstreetmap.org/query?lat=39.293401&lon=-76.6116529#map=19/39.293401/-76.6116529,way,,,CHAP Landmarks List (Revised),T,,on-explore,,,,,,,,,B - Middle Market Choice,,https://explore.baltimoreheritage.org/items/show/493,Baltimore City,MD,"211 E. Pleasant Street Baltimore, MD 21202",7TH,11,,,,,checked,,F,,,,,,,,,Demolition,,,,,,,,,checked,,,,,,,,,,,,
The Algonquin,Chase Street,,Baltimore,21202,"https://www.google.com/maps/place/Chase Street, Baltimore, MD",39.30232350,-76.61467320,,2017-05-03 3:38pm,,,,,T,Building,,,,,,52,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3023235&lon=-76.6146732#map=19/39.3023235/-76.6146732,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/52,Baltimore City,MD,"11 E. Chase Street, Baltimore, MD 21202",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Baltimore General Dispensary,,500,Baltimore,21201,"https://www.google.com/maps/place/, Baltimore, MD",39.29055000,-76.62278200,,2017-05-03 3:38pm,,,,,,Building,,,,,,122,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.29055&lon=-76.622782#map=19/39.29055/-76.622782,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/122,Baltimore City,MD,"500 W. Fayette Street, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,B-2296,
The Brentwood,410 E. 25th Street,410,Baltimore,21218,"https://www.google.com/maps/place/410 E. 25th Street, Baltimore, MD",39.31808600,-76.61038900,,2017-05-02 11:15pm,Built by Urban Development Company & Associates,,1976,,T,Building,,Senior Apartments,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.318086&lon=-76.610389#map=19/39.318086/-76.610389,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"25th Street at Brentwood, Baltimore, MD 21218",,,,,,,,,,checked,,,,,,,,,1976,,,,,,,Urban Development Company & Associates,,,,,"https://maps.google.com/?layer=c&cbll=39.318086,-76.610389","https://maps.googleapis.com/maps/api/streetview?location=39.318086,-76.610389&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,2.856020,0.694870,,
The Bridge Theater,,2100,Baltimore,21223,"https://www.google.com/maps/place/, Baltimore, MD",39.29525200,-76.65070800,,2017-05-03 3:38pm,,,,,T,Building,,,,,,312,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.295252&lon=-76.650708#map=19/39.295252/-76.650708,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/312,Baltimore City,MD,"2100 Edmondson Avenue, Baltimore, MD 21223",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Bryn Mawr Lower School,109 West Melrose Avenue,109,Baltimore,21210,"https://www.google.com/maps/place/109 West Melrose Avenue, Baltimore, MD",39.36171100,-76.62738600,,2017-05-02 11:15pm,"From A Guide to Baltimore Architecture (1973); Boxhill Lane, near Northern Parkway",,1972,,T,Building,"Hamilton Fish,Marcel Breuer",School,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.361711&lon=-76.627386#map=19/39.361711/-76.627386,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"109 West Melrose Avenue, Baltimore, MD 21210",,,,,,,,,,checked,,,,,,,,,1972,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.361711,-76.627386","https://maps.googleapis.com/maps/api/streetview?location=39.361711,-76.627386&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,7.218520,-1.004830,,
The Cloisters,10440 Falls Road,10440,Lutherville,,"https://www.google.com/maps/place/10440 Falls Road, Lutherville, MD",39.41048440,-76.67052960,,2017-05-03 12:55pm,,,,,,Building,,,,,,,,,,habs:md1661,,,,,,http://www.openstreetmap.org/query?lat=39.4104844&lon=-76.6705296#map=19/39.4104844/-76.6705296,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore County,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Commons,,1000,Catonsville,21250,"https://www.google.com/maps/place/, Catonsville, MD",39.25483486,-76.71082914,,2017-05-03 3:38pm,,,,,T,,,,,,,551,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.25483486&lon=-76.71082914#map=19/39.25483486/-76.71082914,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/551,Baltimore County,MD,"University of Maryland, Baltimore County, 1000 Hilltop Circle, Baltimore, MD 21250",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Duchess of Windsor,212 East Biddle Street,212,Baltimore,21202,"https://www.google.com/maps/place/212 East Biddle Street, Baltimore, MD",39.30378800,-76.61268200,,2017-05-03 3:38pm,,,,,T,Building,,,,,,195,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.303788&lon=-76.612682#map=19/39.303788/-76.612682,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/195,Baltimore City,MD,"206 E. Biddle Street, Baltimore, MD 21202",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Ellerslie,601 Wyanoke Avenue,601,Baltimore,21218,"https://www.google.com/maps/place/601 Wyanoke Avenue, Baltimore, MD",39.33630200,-76.60755200,,2017-05-02 11:15pm,,,1976,,T,Building,"""O'Malley and Associates, Inc.""",Senior Apartments,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.336302&lon=-76.607552#map=19/39.336302/-76.607552,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"601 Wyanoke Avenue, Baltimore, MD 21218",,,,,,,,,,checked,,,,,,,,,1976,,,,,,,Harkins Builders,,,,,"https://maps.google.com/?layer=c&cbll=39.336302,-76.607552","https://maps.googleapis.com/maps/api/streetview?location=39.336302,-76.607552&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,4.677620,0.978570,,
The GLCCB,,241,Baltimore,21201,"https://www.google.com/maps/place/, Baltimore, MD",39.30141800,-76.61930800,,2017-05-03 3:38pm,,,,,T,Building,,,,,,554,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.301418&lon=-76.619308#map=19/39.301418/-76.619308,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/554,Baltimore City,MD,"241 W. Chase Street, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The H. Chambers Co. Building,1010 North Charles Street,1010,Baltimore,21201,"https://www.google.com/maps/place/1010 North Charles Street, Baltimore, MD",39.30156200,-76.61606600,,2017-05-02 11:15pm,Won AIA Baltimore award in 1965,,1964,,F,Building,"H. Chamber Co.; Charles H. Richter|Fisher,Nes,Campbell and Partners (?)",Offices,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.301562&lon=-76.616066#map=19/39.301562/-76.616066,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"1010 North Charles Street, Baltimore, MD 21201",,,,,,,,,,checked,,,,,,,,,1964,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.301562,-76.616066","https://maps.googleapis.com/maps/api/streetview?location=39.301562,-76.616066&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,1.203620,0.127170,,
The Hour Haus,North Avenue,,Baltimore,21201,"https://www.google.com/maps/place/North Avenue, Baltimore, MD",39.31054990,-76.61917890,,2017-05-03 3:38pm,,,,,T,Building,,,,,,394,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3105499&lon=-76.6191789#map=19/39.3105499/-76.6191789,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/394,Baltimore City,MD,"135 W. North Avenue, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Ivy Hotel,Calvert Street,,Baltimore,21202,"https://www.google.com/maps/place/Calvert Street, Baltimore, MD",39.30338360,-76.61304450,,2017-05-03 3:38pm,,,,,T,Building,,,,,,431,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3033836&lon=-76.6130445#map=19/39.3033836/-76.6130445,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/431,Baltimore City,MD,"1125 N. Calvert Street, Baltimore, MD 21202",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Latrobe Building,,2,Baltimore,21202,"https://www.google.com/maps/place/, Baltimore, MD",39.29975860,-76.61546230,,2017-05-03 3:38pm,,,,,T,Building,,,,,,51,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.2997586&lon=-76.6154623#map=19/39.2997586/-76.6154623,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/51,Baltimore City,MD,"2 E. Read Street, Baltimore, MD 21202",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,B-3885,
The Marlborough,Eutaw Place,,Baltimore,21217,"https://www.google.com/maps/place/Eutaw Place, Baltimore, MD",39.30762100,-76.62990200,,2017-05-03 3:38pm,,,,,T,Building,,Multi-family dwelling,,,,48,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.307621&lon=-76.629902#map=19/39.307621/-76.629902,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/48,Baltimore City,MD,"1701 Eutaw Place, Baltimore, MD 21217",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Mount,3706 Nortonia Road,3706 ,Baltimore,,"https://www.google.com/maps/place/3706 Nortonia Road, Baltimore, MD",39.30862255,-76.68078406,,2017-05-03 12:11pm,"An Italianate country house, the Mount embodies the characteristics of the Italianate style—Baltimore’s most influential 19th-century architectural style. Built between 1850-1858, the Mount was designed by William Reasin and is his best example of the Italianate Villa. The building’s materials are local stone quarried most likely from the Gwynns Falls. The Mount was built for James Carey, the grandson of the great abolitionist and builder of the Calverton Mill race. In the 1910s the estate was sold for the creation of the Fairmount neighborhood. In many ways, the Mount is a 19th-century relic and monument to the Carey family, which was integral to the affairs of Baltimore. ",,1850-1858,,T,Building,William Reasin,,,Italianate,1,,,checked,,chap:125,,,,Nortonia Road,,http://www.openstreetmap.org/query?lat=39.30862255&lon=-76.68078406#map=19/39.30862255/-76.68078406,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Quad at UMBC,,1000,Catonsville,21250,"https://www.google.com/maps/place/, Catonsville, MD",39.25416063,-76.71166062,,2017-05-03 3:38pm,,,,,T,Landscape,,,,,,547,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.25416063&lon=-76.71166062#map=19/39.25416063/-76.71166062,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/547,Baltimore County,MD,"University of Maryland, Baltimore County, 1000 Hilltop Circle, Baltimore, MD 21250",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Ridge,1306 West Joppa Road,1306,Riderwood,,"https://www.google.com/maps/place/1306 West Joppa Road, Riderwood, MD",39.41134900,-76.63144030,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md1666,,,,,,http://www.openstreetmap.org/query?lat=39.411349&lon=-76.6314403#map=19/39.411349/-76.6314403,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore County,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rotunda,,711,Baltimore,21211,"https://www.google.com/maps/place/, Baltimore, MD",39.33571900,-76.63049900,,2017-05-03 3:38pm,,,,,T,Building,,,,,,319,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.335719&lon=-76.630499#map=19/39.335719/-76.630499,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/319,Baltimore City,MD,"711 W. 40th Street, Baltimore, MD 21211",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Severn,Cathedral Street,,Baltimore,21201,"https://www.google.com/maps/place/Cathedral Street, Baltimore, MD",39.29797800,-76.61688900,,2017-05-03 3:38pm,,,,,T,Building,,,,,,47,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.297978&lon=-76.616889#map=19/39.297978/-76.616889,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/47,Baltimore City,MD,"701 Cathedral Street, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Traveler Building,1020 Saint Paul Street,1020,Baltimore,,"https://www.google.com/maps/place/1020 Saint Paul Street, Baltimore, MD",39.30207340,-76.61455080,,2017-07-08 9:34pm,,,c. 1940,Date is an approximate guess.,T,Building,,Offices,,Art Deco/Moderne,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3020734&lon=-76.6145508#map=19/39.3020734/-76.6145508,,,,,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University Center,,1000,Catonsville,21250,"https://www.google.com/maps/place/, Catonsville, MD",39.25431890,-76.71331430,,2017-05-03 3:38pm,,,,,T,,,,,,,546,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.2543189&lon=-76.7133143#map=19/39.2543189/-76.7133143,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/546,Baltimore County,MD,"University of Maryland, Baltimore County, 1000 Hilltop Circle, Baltimore, MD 21250",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Walbert,Charles Street,,Baltimore,21201,"https://www.google.com/maps/place/Charles Street, Baltimore, MD",39.30998740,-76.61660220,,2017-05-03 3:38pm,,,,,T,Building,,,,,,50,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3099874&lon=-76.6166022#map=19/39.3099874/-76.6166022,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/50,Baltimore City,MD,"1800 N. Charles Street, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
The Yellow Bowl,1234 Greenmount Avenue,1234,Baltimore,21202,"https://www.google.com/maps/place/1234 Greenmount Avenue, Baltimore, MD",39.30456500,-76.60846700,,2017-05-02 11:15pm,,,,,T,Building,,Restaurant,,,,577,,,,,,,,,Johnston Square,http://www.openstreetmap.org/query?lat=39.304565&lon=-76.608467#map=19/39.304565/-76.608467,way,,,Historic Resource Watchlist,T,40,missing,,null,799,9,B-3963,St. Frances Academy-Brentwood Avenue Historic District,checked,,< 5 Residential Sales (2012-2014Q2),,https://explore.baltimoreheritage.org/items/show/577,Baltimore City,MD,"1234 Greenmount Avenue Baltimore, MD 21202",7TH,12,,,1688,2178,,Old East Baltimore Historic District,,checked,14,1154,Public/City,"417 E FAYETTE ST #1020, BALTIMORE MD 21202-0000",MAYOR AND CITY COUNCIL OF BALTIMORE,restaurant,,Neglect,,,,,,,,,,,,Y,"https://maps.google.com/?layer=c&cbll=39.304565,-76.608467","https://maps.googleapis.com/maps/api/streetview?location=39.304565,-76.608467&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,1.503920,0.887070,,
Third Presbyterian Burial Ground,Eutaw Street,,Baltimore,,"https://www.google.com/maps/place/Eutaw Street, Baltimore, MD",39.29671000,-76.62139000,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.29671&lon=-76.62139#map=19/39.29671/-76.62139,,,,Baltimore Cemetery Inventory,,,,,,,5,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas and Hugg Building, Maryland Historical Society",201 W Monument Street,201,Baltimore,21201,"https://www.google.com/maps/place/201 W Monument Street, Baltimore, MD",39.29711400,-76.61917000,,2017-05-02 11:15pm,,,1968,,T,,"Meyer,Ayers & Saint",Museum,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.297114&lon=-76.61917#map=19/39.297114/-76.61917,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"201 W Monument Street, Baltimore, MD 21201",,,,,,,,,,checked,,,,,,,,,1968,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.297114,-76.61917","https://maps.googleapis.com/maps/api/streetview?location=39.297114,-76.61917&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,0.758820,-0.183230,,
Thomas Kemp House,,1706,Baltimore,21231,"https://www.google.com/maps/place/, Baltimore, MD",39.28272500,-76.59267500,,2017-05-03 3:38pm,,,,,T,,,,,,,145,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.282725&lon=-76.592675#map=19/39.282725/-76.592675,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/145,Baltimore City,MD,"1706 Lancaster Street, Baltimore, MD 21231",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
